RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
988,3958906,3936708,MORGAN STANLEY INVESTMENTS (MAURITIUS) LIMITED,International Nonbank Sub of Domestic Entities,EBENE,MAURITIUS                               
989,5588893,3936708,EATON VANCE MANAGEMENT (INTERNATIONAL) LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
990,3934094,3936708,MS EQUITY FINANCING SERVICES (LUXEMBOURG) S.A.R.L.,International Nonbank Sub of Domestic Entities,LUXEMBOURG,LUXEMBOURG                              
991,5588884,3936708,EATON VANCE ASIA PACIFIC LTD.,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
992,5588923,3936708,EATON VANCE ADVISERS INTERNATIONAL LTD,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
993,5588969,3936708,EATON VANCE MANAGEMENT CANADA ULC,Domestic Entity Other,NEW YORK,NY
994,3958456,3936708,MORGAN STANLEY SAUDI ARABIA,International Nonbank Sub of Domestic Entities,RIYADH,SAUDI ARABIA                            
995,3958522,3936708,BANCO MORGAN STANLEY S.A.,International Nonbank Sub of Domestic Entities,SAO PAULO,BRAZIL                                  
996,4052267,3936708,"MORGAN STANLEY CAPITAL, S.A. DE C.V.",International Nonbank Sub of Domestic Entities,MEXICO CITY,MEXICO                                  
997,4125732,3936708,LIMITED LIABILITY COMPANY MORGAN STANLEY UKRAINE,International Nonbank Sub of Domestic Entities,KIEV,UKRAINE                                 
998,5632974,3936708,MORGAN STANLEY MANAGEMENT SERVICE (SINGAPORE) PTE. LTD.,Data Processing Servicer,SINGAPORE,SINGAPORE                               
999,3937095,3936708,MORGAN STANLEY MAURITIUS COMPANY LIMITED,International Nonbank Sub of Domestic Entities,EBENE,MAURITIUS                               
1000,4033958,3937095,MORGAN STANLEY INDIA SECURITIES PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1001,4057244,4033958,MORGAN STANLEY INDIA PRIMARY DEALER PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1002,4056377,4033958,MORGAN STANLEY INDIA FINANCIAL SERVICES PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1003,4033949,4033958,MORGAN STANLEY INDIA COMPANY PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1004,4056377,4033949,MORGAN STANLEY INDIA FINANCIAL SERVICES PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1005,4058652,3937095,MORGAN STANLEY ADVANTAGE SERVICES PRIVATE LIMITED,Data Processing Servicer,MUMBAI,INDIA (OTHER)                           
1006,4057244,3937095,MORGAN STANLEY INDIA PRIMARY DEALER PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1007,3958483,3937095,MORGAN STANLEY INVESTMENT MANAGEMENT PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1008,4033958,3958483,MORGAN STANLEY INDIA SECURITIES PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1009,5089970,3958483,NORTH HAVEN INDIA INFRASTRUCTURE FUND,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1010,3953666,3937095,ELDERSLIE LIMITED,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
